application_id,application_date,applicant_id,applicant_income,property_value,loan_to_value_ratio,loan_amount,loan_type,application_status,interest_rate,loan_term_months,property_state,property_county,lender,debt_to_income_ratio,credit_score_range,denial_reason,data_source_system,created_timestamp,updated_timestamp
APP-C-0033457,2024-07-23T04:41:36,APPL-C-0002715,33131.77,169199.95,0.6612,111881.59,FHA,Denied,7.785,360,NM,Jefferson County,Meridian Home Lending,0.1998,740-779,Incomplete application,LOS-CORE,2024-07-23T04:41:36,2024-08-02T04:41:36
APP-C-0093569,2024-08-18T08:12:16,APPL-C-0037169,66727.75,410293.51,0.8262,338978.49,VA,Approved,5.504,360,NY,,Meridian Home Lending,0.3011,<580,,LOS-CORE,2024-08-18T08:12:16,2024-09-10T08:12:16
APP-C-0119175,2023-05-09T07:52:19,APPL-C-0119320,64165.46,166696.14,0.6837,113963.25,USDA,Withdrawn,5.373,180,TX,,Riverstone Lending,0.1781,660-699,,LOS-CORE,2023-05-09T07:52:19,2023-05-13T07:52:19
APP-C-0052390,2024-11-07T01:00:25,APPL-C-0076691,42755.14,210419.67,0.7436,156462.09,Conventional,Incomplete,4.081,360,NJ,Franklin County,Ashford Trust Bank,0.2355,660-699,,LOS-CORE,2024-11-07T01:00:25,2024-12-27T01:00:25
APP-C-0103666,2023-10-05T19:04:14,APPL-C-0082701,223109.92,743675.77,0.8604,639847.24,Conventional,Approved,7.257,180,FL,Union County,Cascade Mortgage Group,0.266,740-779,,LOS-CORE,2023-10-05T19:04:14,2023-10-26T19:04:14
APP-C-0115113,2024-02-15T04:02:05,APPL-C-0120378,32006.43,197760.25,0.7372,145790.97,FHA,Approved,7.592,360,FL,Lincoln County,Crestpoint Mortgage,0.357,<580,,LOS-CORE,2024-02-15T04:02:05,2024-04-02T04:02:05
APP-C-0101184,2022-10-11T07:05:46,APPL-C-0123560,40263.58,101412.19,0.7934,80464.48,Conventional,Approved,6.022,360,OK,Madison County,Summit National Bank,0.4694,580-619,,LOS-CORE,2022-10-11T07:05:46,2022-10-12T07:05:46
APP-C-0106200,2023-10-05T12:41:24,APPL-C-0103457,36459.6,118664.52,0.783,92910.95,Conventional,Approved,6.068,360,OH,Union County,Bluegrass Mortgage Co,0.1297,700-739,,LOS-CORE,2023-10-05T12:41:24,2023-11-06T12:41:24
APP-C-0125246,2022-11-06T13:13:38,APPL-C-0069904,56193.54,295684.0,1.1,325252.4,Conventional,Approved,7.123,360,NM,Monroe County,Ashford Trust Bank,0.1978,780+,,LOS-CORE,2022-11-06T13:13:38,2022-12-14T13:13:38
APP-C-0042213,2025-01-28T17:14:31,APPL-C-0067040,46605.74,218000.66,0.8332,181638.39,Conventional,Denied,5.635,360,CT,Franklin County,Ashford Trust Bank,0.5473,620-659,Credit history,LOS-CORE,2025-01-28T17:14:31,2025-02-18T17:14:31
APP-C-0122517,2025-02-24T01:51:08,APPL-C-0038244,70267.87,276728.98,0.6757,186985.9,VA,Denied,5.415,360,DE,Adams County,Crestpoint Mortgage,0.1648,660-699,Insufficient income,LOS-CORE,2025-02-24T01:51:08,2025-04-13T01:51:08
APP-C-0139741,2023-07-02T18:32:15,APPL-C-0114241,59627.14,382807.2,0.689,263755.51,FHA,Approved,6.558,360,SC,Madison County,Ashford Trust Bank,0.056,780+,,LOS-CORE,2023-07-02T18:32:15,2023-08-05T18:32:15
APP-C-0097526,2023-06-13T13:20:43,APPL-C-0109583,36225.77,226743.69,0.8965,203276.33,VA,Denied,5.274,360,AR,Jefferson County,Ashford Trust Bank,0.5234,660-699,Incomplete application,LOS-CORE,2023-06-13T13:20:43,2023-06-17T13:20:43
APP-C-0030421,2022-10-05T02:32:32,APPL-C-0112517,70776.17,428305.71,0.8623,369332.56,Conventional,APPROVED,6.488,360,GA,Jefferson County,Riverstone Lending,0.3391,660-699,,LOS-CORE,2022-10-05T02:32:32,2022-11-17T02:32:32
APP-C-0103729,2024-04-01T21:21:58,APPL-C-0074541,30609.54,176777.15,0.682,120566.65,VA,Approved,7.701,360,NE,Clay County,Summit National Bank,0.2859,660-699,,LOS-CORE,2024-04-01T21:21:58,2024-05-01T21:21:58
APP-C-0143810,2023-10-03T23:29:48,APPL-C-0030220,108163.05,469368.16,0.4622,216948.57,Conventional,Denied,6.38,360,HI,Adams County,Crestpoint Mortgage,0.3125,780+,Incomplete application,LOS-CORE,2023-10-03T23:29:48,2023-10-04T23:29:48
APP-C-0020503,2022-11-21T01:15:42,APPL-C-0061239,100151.41,543739.51,1.0346,562549.92,USDA,Denied,6.163,360,NV,Jefferson County,Meridian Home Lending,0.2784,<580,Collateral,LOS-CORE,2022-11-21T01:15:42,2023-01-01T01:15:42
APP-C-0047193,2024-06-26T12:36:04,APPL-C-0118957,38454.39,147435.13,0.8284,122134.6,Conventional,Approved,8.516,360,MO,Madison County,Cascade Mortgage Group,0.1363,580-619,,LOS-CORE,2024-06-26T12:36:04,2024-08-19T12:36:04
APP-C-0057902,2023-08-20T14:48:58,APPL-C-0092791,19102.78,43998.78,0.8865,39002.73,Conventional,Incomplete,6.357,360,IL,Lincoln County,Meridian Home Lending,0.1551,580-619,,LOS-CORE,2023-08-20T14:48:58,2023-09-01T14:48:58
APP-C-0076492,2024-07-23T14:51:15,APPL-C-0085429,120837.96,469219.94,0.4036,189385.22,Conventional,Denied,4.621,360,SD,Lincoln County,Bluegrass Mortgage Co,0.3048,,Debt-to-income ratio too high,LOS-CORE,2024-07-23T14:51:15,2024-09-18T14:51:15
APP-C-0144570,2025-06-15T16:02:24,APPL-C-0073873,151315.9,531883.54,0.7528,400420.54,Conventional,Incomplete,7.646,360,IL,,Crestpoint Mortgage,0.3791,620-659,,LOS-CORE,2025-06-15T16:02:24,2025-06-24T16:02:24
APP-C-0105824,2023-08-21T05:22:04,APPL-C-0074563,75641.03,214778.67,0.961,206401.9,FHA,Denied,4.74,360,NY,Madison County,Pinnacle Federal Credit Union,0.2769,660-699,Debt-to-income ratio too high,LOS-CORE,2023-08-21T05:22:04,2023-10-09T05:22:04
APP-C-0012337,2022-11-15T18:37:50,APPL-C-0035858,113251.68,663009.74,0.5869,389123.12,Conventional,Incomplete,7.057,360,ID,Madison County,Summit National Bank,0.1672,620-659,,LOS-CORE,2022-11-15T18:37:50,2022-12-06T18:37:50
APP-C-0123638,2023-12-20T09:41:44,APPL-C-0014394,101104.56,349213.21,0.7421,259166.65,USDA,Denied,6.297,360,FL,Monroe County,Northgate Home Loans,0.4412,740-779,Credit history,LOS-CORE,2023-12-20T09:41:44,2023-12-23T09:41:44
APP-C-0053930,2023-02-18T19:23:00,APPL-C-0073230,31204.83,134208.03,0.9447,126788.49,Conventional,Approved,6.87,240, ca ,Union County,Crestpoint Mortgage,0.2375,740-779,,LOS-CORE,2023-02-18T19:23:00,2023-03-27T19:23:00
APP-C-0010357,2022-02-21T01:55:02,APPL-C-0050377,58557.67,325755.48,0.5826,189793.61,Conventional,Withdrawn,7.677,360,TX,Franklin County,Riverstone Lending,0.3879,<580,,LOS-CORE,2022-02-21T01:55:02,2022-04-12T01:55:02
APP-C-0087195,2022-02-16T02:55:45,APPL-C-0065853,126975.44,383981.8,0.5035,193318.24,Conventional,Withdrawn,999.0,180,IL,,Bluegrass Mortgage Co,0.232,620-659,,LOS-CORE,2022-02-16T02:55:45,2022-03-08T02:55:45
APP-C-0076091,2023-10-01T14:12:17,APPL-C-0055717,56705.73,139480.19,0.9108,127035.55,FHA,Approved,6.097,240,ME,Jackson County,Harborview Financial,0.0891,<580,,LOS-CORE,2023-10-01T14:12:17,2023-11-04T14:12:17
APP-C-0021572,2023-02-25T17:23:36,APPL-C-0086575,89486.89,264938.81,0.8397,222456.17,FHA,Approved,5.768,360,HI,Clay County,Bluegrass Mortgage Co,0.327,,,LOS-CORE,2023-02-25T17:23:36,2023-03-06T17:23:36
APP-C-0008002,2025-01-12T09:30:38,APPL-C-0092032,88578.94,525731.52,0.8092,425407.62,Conventional,Withdrawn,5.032,240,CO,Washington County,Northgate Home Loans,0.2531,740-779,,LOS-CORE,2025-01-12T09:30:38,2025-02-02T09:30:38
APP-C-0095675,2022-07-18T13:51:23,APPL-C-0073131,20089.49,84231.85,0.7074,59584.03,Conventional,Denied,6.195,360,TX,Washington County,Bluegrass Mortgage Co,0.5658,780+,Debt-to-income ratio too high,LOS-CORE,2022-07-18T13:51:23,2022-07-31T13:51:23
APP-C-0048867,2024-05-19T12:31:31,APPL-C-0108542,40314.93,230841.68,0.8054,185919.75,Conventional,Approved,5.482,360,TN,Monroe County,Northgate Home Loans,0.5135,660-699,,LOS-CORE,2024-05-19T12:31:31,2024-07-08T12:31:31
APP-C-0107025,2023-10-06T11:51:28,APPL-C-0028285,95752.36,501649.34,0.5698,285850.88,Conventional,Approved,,360,CO,Jackson County,Bluegrass Mortgage Co,0.2735,<580,,LOS-CORE,2023-10-06T11:51:28,2023-11-09T11:51:28
APP-C-0054026,2023-06-14T12:23:46,APPL-C-0116128,63363.65,222212.85,0.6205,137885.65,FHA,Approved,7.074,360,TX,Jefferson County,Harborview Financial,0.4571,620-659,,LOS-CORE,2023-06-14T12:23:46,2023-06-19T12:23:46
